date,publisher,candidate,sentiment
2020-03-20,Buzzfeed,bloomberg,0.1260416666666666
2020-03-20,Buzzfeed,trump,-0.0046217757936508
2020-03-20,Fox,,-0.25
2020-03-20,Fox,biden,0.10694444444444443
2020-03-20,Fox,bloomberg,0.12835363269887082
2020-03-20,Fox,sanders,0.03833333333333334
2020-03-20,Fox,trump,0.06825904919269114
2020-03-20,Fox,warren,0.22083333333333327
2020-03-20,Fox,yang,0.09410468319559222
2020-03-20,NBC,,0.10000000000000002
2020-03-20,NBC,biden,0.15725589225589232
2020-03-20,NBC,bloomberg,-0.16086580086580082
2020-03-20,NBC,sanders,0.0
2020-03-20,NBC,trump,0.042687481747086475
2020-03-20,NBC,warren,0.23809523809523803
2020-03-20,NBC,yang,0.05878787878787877
2020-03-20,NewYorkTimes,biden,0.0
2020-03-20,NewYorkTimes,bloomberg,0.08497770562770558
2020-03-20,NewYorkTimes,sanders,0.0
2020-03-20,NewYorkTimes,trump,-0.05484014645198847
2020-03-20,Politico,biden,0.11534632034632034
2020-03-20,Politico,bloomberg,0.07868870780635487
2020-03-20,Politico,sanders,0.0
2020-03-20,Politico,trump,0.06330347865748272
2020-03-20,Politico,warren,0.09624368686868691
2020-03-20,WashingtonTimes,biden,0.5
2020-03-20,WashingtonTimes,bloomberg,0.07335858585858587
2020-03-20,WashingtonTimes,sanders,0.0
2020-03-20,WashingtonTimes,trump,0.05673179160021267
2020-03-21,AP,trump,-0.0030728661885378295
2020-03-21,Breitbart,sanders,0.08450186387686388
2020-03-21,Breitbart,trump,0.05613104781755574
2020-03-21,Breitbart,warren,0.15174903799903797
2020-03-21,Buzzfeed,trump,0.3203124999999999
2020-03-21,Fox,biden,0.04
2020-03-21,Fox,sanders,0.056944444444444464
2020-03-21,Fox,trump,0.04622143446123032
2020-03-21,Fox,warren,0.010185185185185186
2020-03-21,NBC,,0.0
2020-03-21,NBC,biden,0.11248234900020614
2020-03-21,NBC,sanders,0.050000000000000024
2020-03-21,NBC,trump,0.05340955340955334
2020-03-21,NewYorkTimes,,0.5
2020-03-21,NewYorkTimes,biden,0.03940058479532162
